ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Forma de Vinculación	Tipo de Vinculación	Latitud	Longitud
316966		2001	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	4	-72
316969	CR035038	0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	4	-72
316970		1996	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	PERSUASIÓN	GRUPO PARAMILITAR	BLOQUE CENTRAL BOLÍVAR	1	0	0	0	1	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	4	-72
316972		2000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO PARAMILITAR	AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	RECLUTAMIENTO	4	-72
316973		2003	05	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	4	-72
316974		1993	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COACCIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	4	-72
316975		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316976		1979	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	SIN INFORMACIÓN	4	-72
316977		1983	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COACCIÓN	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	4	-72
316978		1983	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	INDIVIDUAL	RECLUTAMIENTO	4	-72
316979		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316980		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
