ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Grupo Armado 1	Descripción Grupo Armado 1	Grupo Armado 2	Descripción Grupo Armado 2	Grupo Armado 3	Descripción Grupo Armado 3	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Grupo al que Pertenecen los Capturados	Capturados	Escudo Humano	Lesionados Combatientes	Militares	Policías	Otras Fuerzas Armadas Estatales	Agentes del Estado Sin Información	Total Agentes del Estado	Guerrilleros	Paramilitares	Grupos Posdesmovilización	Combatientes Sin Información	Otros Grupos Armados Organizados	Total Combatientes de Grupos Armados Organizados	Total Combatientes	Personas Sin Información	Total Civiles	Ventaja Militar	Total de Víctimas del Caso	Latitud	Longitud
34678		1988	04	07	05361	ITUANGO	ANTIOQUIA	NORTE DE ANTIOQUIA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	7	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NINGUNO	0	7.17162903	-75.76467317
34679		1988	04	18	20178	CHIRIGUANA	CESAR	SERRANIA DEL PERIJA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SIN INFORMACIÓN	0	9.361189611	-73.60014444
34680	CR003007	1988	04	20	97001	MITU	VAUPES	AMAZONIA SUR-ORIENTAL	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	2	0	0			GRUPO ARMADO ORGANIZADO	2	0	7	0	0	0	0	0	5	0	0	0	0	5	5	0	0	NINGUNO	10	1.251190563	-70.23475052
34681		1988	05	10	20310	GONZALEZ	CESAR	SUR DE CESAR	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	1	0	0				0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	8.389604097	-73.38003986
34683		1988	05	28	47555	PLATO	MAGDALENA	CIENAGA GRANDE DE SANTA MARTA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SIN INFORMACIÓN	0	9.872296465	-74.58197051
34685	CR003036	1988	06	04	05856	VALPARAISO	ANTIOQUIA	SUROESTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	1	0				0	0	0	0	2	0	0	2	1	0	0	0	0	1	3	0	0	GRUPOS ARMADOS ORGANIZADOS	3	5.614550725	-75.62445889
34686	CR003035	1988	06	11	05313	GRANADA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	OTRA			0	0	0	0	0	0	4	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NINGUNO	0	6.142896667	-75.18444508
34687		1988	07	12	05674	SAN VICENTE FERRER	ANTIOQUIA	ORIENTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	2	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NINGUNO	2	6.282155852	-75.33261381
34688	CR003037	1988	07	14	19392	LA SIERRA	CAUCA	MACIZO COLOMBIANO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	M19	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0				0	0	0	0	2	0	0	2	4	0	0	0	0	4	6	0	2	GRUPOS ARMADOS ORGANIZADOS	8	2.179322406	-76.76320908
34689	CR039044	1988	08	18	54174	CHITAGA	NORTE DE SANTANDER	SUROCCIDENTE DE NORTE DE SANTANDER	AGENTE DEL ESTADO	NO IDENTIFICADO	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SIN INFORMACIÓN	0	7.138122324	-72.66543492
34690	CR003038	1988	08	23	23807	TIERRALTA	CORDOBA	URABA	AGENTE DEL ESTADO	EJÉRCITO NACIONAL - POLICÍA NACIONAL	GUERRILLA	COORDINADORA NACIONAL GUERRILLERA			0	0	0	0	0	0	4	0	0				0	0	8	9	2	0	0	11	15	0	0	0	0	15	26	0	12	GRUPOS ARMADOS ORGANIZADOS	38	7.813896829	-76.16846678
34691	CR003039	1988	08	30	41676	SANTA MARIA	HUILA	NORTE DEL HUILA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	2	0	0				0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	2.939755223	-75.58611594
34692	CR003040	1988	09	08	47001	SANTA MARTA	MAGDALENA	SIERRA NEVADA DE SANTA MARTA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	0	0	0	0	0	0	0	0			FARC	23	0	4	0	1	0	0	1	3	0	0	0	0	3	4	0	1	FUERZAS ARMADAS ESTATALES	5	11.14222657	-74.11788685
34693	CR003042	1988	10	05	13670	SAN PABLO	BOLIVAR	MAGDALENA MEDIO	AGENTE DEL ESTADO	EJÉRCITO NACIONAL - POLICÍA NACIONAL	GUERRILLA	FARC	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0				0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NINGUNO	0	7.476720672	-73.92416855
34694	CR003043	1988	10	05	68575	PUERTO WILCHES	SANTANDER	MAGDALENA MEDIO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC	GUERRILLA	ELN	0	0	0	0	0	0	3	0	0				0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FUERZAS ARMADAS ESTATALES	1	7.349066144	-73.89933402
34695		1988	11	08	76275	FLORIDA	VALLE DEL CAUCA	SUR DEL VALLE	GUERRILLA	FARC	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	SIN INFORMACIÓN	1	3.323918106	-76.23450174
