ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
359647	CR009039	0000	00	00	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	RETENCIÓN/EJECUCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	8.639548853	-72.73591863
359648		0000	00	00	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	1	0	0	0	0			3	ND	8.998278492	-72.89972106
359651		0000	00	00	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	1	0	0	1	0			1	ND	8.998278492	-72.89972106
359652	CR009040	0000	00	00	54344	HACARI	NORTE DE SANTANDER	CATATUMBO	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0	MATRIMONIO O COHABITACIÓN FORZADA		1	ND	8.321714562	-73.14597535
359653		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	INTERCEPTACIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			5	ND	4	-72
359658		0000	00	00	68000	SIN INFORMACION	SANTANDER		ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	ND	6.693633184	-73.48600894
359659	CR009042	0000	00	00	68000	SIN INFORMACION	SANTANDER		DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	1			1	MATERIAL INCENDIARIO	6.693633184	-73.48600894
359660		0000	00	00	68689	SAN VICENTE DE CHUCURI	SANTANDER	MAGDALENA MEDIO	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	1	0	0	0	0			1	ND	6.830828057	-73.71248156
359661		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ASALTO	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0	DISCRIMINACIÓN POR GÉNERO		1	ND	4	-72
359662		0000	00	00	70713	SAN ONOFRE	SUCRE	MONTES DE MARIA	COERCIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0			1	ND	9.736932014	-75.5230307
